article_id,headline,url,published_date
438d69f8171684bc46694a4afe17dda8fde280e0,This town powered America for decades. What do we owe them?,https://www.cnn.com/2021/01/23/opinions/biden-climate-change-gillette-wyoming-coal-sutter/index.html,2021-01-23 18:38:50.000 Z
ea31c6dfbfe707458a3196fc35c8ac9fa45ae2c2,Josh Hawley is definitely not sorry,https://www.cnn.com/2021/01/22/politics/josh-hawley-capitol-riots/index.html,2021-01-22 17:39:59.000 Z
37f38d771efe56ed22d8f782b62e7095a35c189c,Wall Street Journal: Trump pressured DOJ to file case with Supreme Court to overturn election results,https://www.cnn.com/2021/01/23/politics/trump-department-of-justice-supreme-court-election-results/index.html,2021-01-25 13:05:52.000 Z
81facfee74af979e8061df47765a301ee3a4f62d,Proud Boys leader Joseph Biggs arrested in Florida in connection with the Capitol riot,https://www.cnn.com/2021/01/20/us/proud-boys-joseph-biggs-federal-charges/index.html,2021-01-21 14:54:30.000 Z
e2a146772a5e3b892827f9b3b40c5a697d7e9893,Biden rescinds 1776 commission via executive order,https://www.cnn.com/2021/01/20/politics/biden-rescind-1776-commission-executive-order/index.html,2021-01-21 05:10:33.000 Z
97bdcb07f0d7fac7be2e550513253fe8e105ab71,Trump's acting attorney general leaves without creating controversial special counsels,https://www.cnn.com/2021/01/20/politics/justice-department-special-counsel-rosen-wilkinson/index.html,2021-01-20 15:37:17.000 Z
5884af57507649cd61b14e6f0ade034448a67043,"5 things to know for January 20: Inauguration, Covid, pardons, China, soldier arrest",https://www.cnn.com/2021/01/20/us/five-things-january-20-trnd/index.html,2021-01-20 11:13:58.000 Z
bbbcca27fd30686d2d3796a36fcb5e9c6f94ab4a,MyPillow no longer sold at Bed Bath & Beyond after CEO Mike Lindell's Capitol siege comments,https://www.cnn.com/2021/01/19/business/mypillow-bed-bath-and-beyond-sales/index.html,2021-01-19 20:58:30.000 Z
740f51d793d69cbdc681194aef32c6db6dcc244c,Trump departs Washington a pariah as his era in power ends,https://www.cnn.com/2021/01/20/politics/donald-trump-leaves-white-house/index.html,2021-01-20 15:47:31.000 Z
cd7ce84175b5181539b74e7301ce352d38bd4d21,Manhunt underway for 6 inmates who escaped from a California jail using a homemade rope,https://www.cnn.com/2021/01/11/us/california-jail-inmates-escape-trnd/index.html,2021-01-11 06:51:09.000 Z
5368871e61d34c2665104ec9f595f29c1b7ebe2a,Crystal Hefner says she almost died during cosmetic surgery,https://www.cnn.com/2021/01/07/entertainment/crystal-hefner-surgery-trnd/index.html,2021-01-07 14:34:22.000 Z
30d02b2468a05dcf75439619d85ea4568b64ad82,Two-time golf major winner Angel Cabrera arrested in Brazil,https://www.cnn.com/2021/01/15/golf/angel-cabrera-arrested-in-brazil-spt-intl/index.html,2021-01-15 18:28:20.000 Z
9f7eecaa3f6bcb2207d6878198f2e3ffbeae5800,"Harry Brant, model and son of Stephanie Seymour and Peter Brant, has died",https://www.cnn.com/2021/01/19/entertainment/harry-brant-dead/index.html,2021-01-19 17:43:46.000 Z
6ee3062b966631e90156f071d4641adec32d811f,Army vet who tended bar accused by FBI of conspiring in Capitol insurrection,https://www.cnn.com/2021/01/24/us/ohio-army-veteran-capitol-riot/index.html,2021-01-24 18:30:06.000 Z
db2c8a1cf0ab92c01b887f12aae94ecaa085861e,"Trump's last-minute pardons include Bannon, Lil Wayne and scores of others",https://www.cnn.com/2021/01/20/politics/trump-pardons-commutations-list/index.html,2021-01-20 16:22:24.000 Z
df1ba9a7b6ed05a8fa51f0d10087901a792e2588,Man who accidentally threw out a bitcoin fortune offers $70 million for permission to dig it up,https://www.cnn.com/2021/01/15/uk/bitcoin-trash-landfill-gbr-scli-intl/index.html,2021-01-15 14:59:43.000 Z
32ba91ffb801b1a4831c65cc61bbc275288abbb9,JoJo Siwa responds to board game controversy saying she 'had no idea' about the 'inappropriate' content,https://www.cnn.com/2021/01/05/us/jojo-siwa-game-trnd/index.html,2021-01-06 01:22:25.000 Z
8a36777ad4ebd6ee31e5e95c44ec860a07e91657,"'If I would have known then what I know now, I would have never stepped foot in the NFL'",https://www.cnn.com/2021/01/12/sport/nfl-cheerleader-equal-pay-raiders-bills-lawsuit-spt-intl/index.html,2021-01-17 18:34:53.000 Z
